question_id,embedding_model,retrieved_chunk_ids,relevant_chunk_ids,retrieval_seconds
Q001,e5_small_v2,rbi_operational_risk_resilience_2024_p1_c1|rbi_operational_risk_resilience_2024_p6_c1|rbi_model_risks_in_credit_draft_2024_p1_c1|rbi_credit_risk_management_p1_c1|rbi_operational_risk_resilience_2024_p3_c1,rbi_operational_risk_resilience_2024_p18_c2|rbi_operational_risk_resilience_2024_p22_c1,0.06201650000002701
Q002,e5_small_v2,rbi_operational_risk_resilience_2024_p1_c1|rbi_operational_risk_resilience_2024_p2_c1|rbi_operational_risk_resilience_2024_p1_c2|rbi_operational_risk_resilience_2024_p6_c2|rbi_operational_risk_resilience_2024_p6_c1,rbi_operational_risk_resilience_2024_p8_c2|rbi_operational_risk_resilience_2024_p9_c1,0.018398299999944356
Q003,e5_small_v2,rbi_operational_risk_resilience_2024_p18_c1|rbi_operational_risk_resilience_2024_p30_c1|rbi_operational_risk_resilience_2024_p24_c1|rbi_operational_risk_resilience_2024_p17_c1|rbi_operational_risk_resilience_2024_p12_c1,rbi_operational_risk_resilience_2024_p12_c1|rbi_operational_risk_resilience_2024_p18_c1,0.01763329999994312
Q004,e5_small_v2,rbi_credit_risk_management_p1_c1|rbi_credit_risk_management_p1_c2|rbi_credit_risk_management_p26_c1|rbi_credit_risk_management_p4_c2|rbi_model_risks_in_credit_draft_2024_p3_c1,rbi_credit_risk_management_p4_c2|rbi_credit_risk_management_p3_c1,0.019904399999973066
Q005,e5_small_v2,rbi_credit_risk_management_p6_c1|rbi_credit_risk_management_p45_c1|rbi_credit_risk_management_p5_c2|rbi_credit_risk_management_p4_c2|rbi_credit_risk_management_p11_c2,rbi_credit_risk_management_p5_c1|rbi_credit_risk_management_p5_c2,0.019188199999916833
Q006,e5_small_v2,rbi_credit_risk_management_p36_c2|rbi_credit_risk_management_p24_c1|rbi_credit_risk_management_p4_c2|rbi_credit_risk_management_p14_c2|rbi_credit_risk_management_p29_c2,rbi_credit_risk_management_p4_c2|rbi_credit_risk_management_p26_c1|rbi_credit_risk_management_p27_c1,0.017495599999961087
Q007,e5_small_v2,rbi_stress_testing_guidelines_p4_c3|rbi_stress_testing_guidelines_p3_c3|rbi_stress_testing_guidelines_p5_c2|rbi_stress_testing_guidelines_p8_c1|rbi_stress_testing_guidelines_p5_c1,rbi_stress_testing_guidelines_p4_c2|rbi_stress_testing_guidelines_p4_c3,0.02081939999993665
Q008,e5_small_v2,rbi_stress_testing_guidelines_p7_c1|rbi_stress_testing_guidelines_p4_c3|rbi_stress_testing_guidelines_p4_c2|rbi_stress_testing_guidelines_p3_c3|rbi_stress_testing_guidelines_p1_c1,rbi_stress_testing_guidelines_p4_c3|rbi_stress_testing_guidelines_p7_c1,0.01683360000004086
Q009,e5_small_v2,rbi_model_risks_in_credit_draft_2024_p3_c1|rbi_credit_risk_management_p25_c1|rbi_model_risks_in_credit_draft_2024_p1_c1|rbi_model_risks_in_credit_draft_2024_p5_c1|rbi_credit_risk_management_p20_c1,rbi_model_risks_in_credit_draft_2024_p3_c2|rbi_model_risks_in_credit_draft_2024_p5_c1,0.019384500000001026
Q010,e5_small_v2,rbi_credit_risk_management_p32_c1|rbi_governance_private_sector_banks_p1_c2|rbi_credit_risk_management_p45_c1|rbi_governance_private_sector_banks_p1_c1|rbi_operational_risk_resilience_2024_p31_c1,rbi_governance_private_sector_banks_p1_c2|rbi_governance_private_sector_banks_p3_c2,0.01792210000007799
Q011,e5_small_v2,rbi_operational_risk_resilience_2024_p2_c2|rbi_operational_risk_resilience_2024_p6_c2|rbi_operational_risk_resilience_2024_p1_c1|rbi_operational_risk_resilience_2024_p2_c1|rbi_operational_risk_resilience_2024_p48_c1,rbi_operational_risk_resilience_2024_p1_c1|rbi_operational_risk_resilience_2024_p1_c2,0.01721420000001217
Q012,e5_small_v2,rbi_credit_risk_management_p1_c1|rbi_credit_risk_management_p2_c3|rbi_credit_risk_management_p1_c2|rbi_credit_risk_management_p3_c2|rbi_operational_risk_resilience_2024_p6_c2,rbi_credit_risk_management_p2_c3|rbi_credit_risk_management_p3_c1,0.017122900000003938
Q001,bge_small_en_v1_5,rbi_operational_risk_resilience_2024_p1_c1|rbi_operational_risk_resilience_2024_p6_c2|rbi_operational_risk_resilience_2024_p6_c1|rbi_operational_risk_resilience_2024_p10_c1|rbi_operational_risk_resilience_2024_p48_c1,rbi_operational_risk_resilience_2024_p18_c2|rbi_operational_risk_resilience_2024_p22_c1,0.06525060000001304
Q002,bge_small_en_v1_5,rbi_operational_risk_resilience_2024_p1_c1|rbi_operational_risk_resilience_2024_p9_c1|rbi_operational_risk_resilience_2024_p1_c2|rbi_operational_risk_resilience_2024_p6_c2|rbi_operational_risk_resilience_2024_p2_c1,rbi_operational_risk_resilience_2024_p8_c2|rbi_operational_risk_resilience_2024_p9_c1,0.020051099999932376
Q003,bge_small_en_v1_5,rbi_operational_risk_resilience_2024_p18_c1|rbi_operational_risk_resilience_2024_p30_c1|rbi_operational_risk_resilience_2024_p12_c1|rbi_operational_risk_resilience_2024_p30_c2|rbi_operational_risk_resilience_2024_p4_c1,rbi_operational_risk_resilience_2024_p12_c1|rbi_operational_risk_resilience_2024_p18_c1,0.017309999999952197
Q004,bge_small_en_v1_5,rbi_credit_risk_management_p1_c2|rbi_credit_risk_management_p1_c1|rbi_credit_risk_management_p4_c1|rbi_credit_risk_management_p4_c2|rbi_credit_risk_management_p28_c1,rbi_credit_risk_management_p4_c2|rbi_credit_risk_management_p3_c1,0.020412999999962267
Q005,bge_small_en_v1_5,rbi_credit_risk_management_p5_c1|rbi_credit_risk_management_p4_c2|rbi_credit_risk_management_p8_c2|rbi_credit_risk_management_p6_c1|rbi_credit_risk_management_p5_c2,rbi_credit_risk_management_p5_c1|rbi_credit_risk_management_p5_c2,0.023547300000018367
Q006,bge_small_en_v1_5,rbi_credit_risk_management_p28_c1|rbi_credit_risk_management_p17_c2|rbi_credit_risk_management_p29_c1|rbi_credit_risk_management_p24_c1|rbi_credit_risk_management_p2_c1,rbi_credit_risk_management_p4_c2|rbi_credit_risk_management_p26_c1|rbi_credit_risk_management_p27_c1,0.020006599999987884
Q007,bge_small_en_v1_5,rbi_stress_testing_guidelines_p8_c1|rbi_stress_testing_guidelines_p3_c3|rbi_stress_testing_guidelines_p1_c1|rbi_stress_testing_guidelines_p5_c1|rbi_stress_testing_guidelines_p4_c1,rbi_stress_testing_guidelines_p4_c2|rbi_stress_testing_guidelines_p4_c3,0.019322299999998904
Q008,bge_small_en_v1_5,rbi_stress_testing_guidelines_p7_c1|rbi_stress_testing_guidelines_p1_c1|rbi_stress_testing_guidelines_p4_c2|rbi_stress_testing_guidelines_p4_c3|rbi_stress_testing_guidelines_p3_c3,rbi_stress_testing_guidelines_p4_c3|rbi_stress_testing_guidelines_p7_c1,0.018463100000076338
Q009,bge_small_en_v1_5,rbi_model_risks_in_credit_draft_2024_p1_c1|rbi_model_risks_in_credit_draft_2024_p3_c1|rbi_credit_risk_management_p25_c1|rbi_model_risks_in_credit_draft_2024_p4_c1|rbi_model_risks_in_credit_draft_2024_p5_c1,rbi_model_risks_in_credit_draft_2024_p3_c2|rbi_model_risks_in_credit_draft_2024_p5_c1,0.022955999999908272
Q010,bge_small_en_v1_5,rbi_governance_private_sector_banks_p1_c2|rbi_operational_risk_resilience_2024_p23_c1|rbi_credit_risk_management_p4_c1|rbi_credit_risk_management_p32_c2|rbi_operational_risk_resilience_2024_p15_c1,rbi_governance_private_sector_banks_p1_c2|rbi_governance_private_sector_banks_p3_c2,0.0215462999999545
Q011,bge_small_en_v1_5,rbi_operational_risk_resilience_2024_p1_c1|rbi_operational_risk_resilience_2024_p2_c2|rbi_operational_risk_resilience_2024_p48_c1|rbi_operational_risk_resilience_2024_p2_c1|rbi_operational_risk_resilience_2024_p6_c2,rbi_operational_risk_resilience_2024_p1_c1|rbi_operational_risk_resilience_2024_p1_c2,0.018123500000001513
Q012,bge_small_en_v1_5,rbi_credit_risk_management_p1_c1|rbi_credit_risk_management_p2_c3|rbi_credit_risk_management_p1_c2|rbi_operational_risk_resilience_2024_p1_c1|rbi_credit_risk_management_p2_c2,rbi_credit_risk_management_p2_c3|rbi_credit_risk_management_p3_c1,0.018037400000025627
