chunk_id,doc_id,source_file,page_no_start,page_no_end,section_heading,chunk_text
bcbs292_p8_c1,bcbs292,bcbs292.pdf,8,8,,"Many banks also noted that they are still in the process of implementing a more refined approach to assigning specific responsibilities to the three lines of defence. Recommendations Failure to fully implement appropriate operational risk identification and management practices may result in direct and material financial losses, or reputational and consequential losses, and could lead to a systemic impact on other banks, customers, counterparties and the financial system. As illustrated throughout this report, banks noted that they are at varying stages of implementation of each of the Principles. The review also highlighted several principles where, overall, banks had not adequately implemented and addressed the related risk management practices. In particular, banks should: • improve the implementation of each of the operational risk identification and assessment tools, including risk and control self-assessments, key risk indicators, external loss data, business process mapping, comparative analysis, and the monitoring of action plans generated from various operational risk management tools; • enhance the implementation of change management programmes and processes and ensure their effective monitoring; • strengthen the implementation of the three-lines of defence, especially by refining the assignment of roles and responsibilities; and • improve board and senior management oversight; articulation of operational risk appetite and tolerance statements; and risk disclosures. Review of the Principles for the Sound Management of Operational Risk 5"
bcbs292_p9_c1,bcbs292,bcbs292.pdf,9,9,,"2. Introduction The Principles for the Sound Management of Operational Risk (“the Principles”), as updated and published in June 2011, cover (i) fundamental principles of operational risk management, (ii) governance, and (iii) the risk management environment. In December 2012, the BCBS’s Working Group on Operational Risk (WGOR) established a work stream to undertake a review of the implementation of the Principles. Conducted via a questionnaire, the review aimed to: • identify and understand the degree to which banks have implemented the Principles; • identify common significant gaps at banks related to the implementation of the Principles; and • identify emerging and noteworthy practices in operational risk management that are used by banks but which are not currently addressed by the Principles. 3. Findings and observations A questionnaire was used to solicit self-assessments from participating banks. The questionnaire contained 180 questions and was completed by 60 systemically important banks across 20 jurisdictions. The questionnaire covered all 11 Principles as well as the on the overarching guidance related to the three lines of defence. For a list of participating jurisdictions see Appendix I. Banks were asked to self-assess and rate their operational risk management practices on a rating scale of “1” to “4” or “N/A"". The four ratings were defined as follows: 1 - Principle has not been implemented 3 - Principle is largely complied with 2 - Principle is materially not complied with 4 - Principle is fully complied with For further information on the guidance given to banks in completing the self-assessment ratings, see Appendix II. For a full list of Principles and criteria that were surveyed, see Appendix III. Principle 1: Operational risk culture The board of directors should take the lead in establishing a strong risk management culture. The board of directors and senior management should establish a corporate culture that is guided by strong risk management and that supports and provides appropriate standards and incentives for professional and responsible behaviour. In this regard, it is the responsibility of the board of directors to ensure that a strong operational risk management culture exists throughout the whole organisation. 6 Review of the Principles for the Sound Management of Operational Risk"
bcbs292_p10_c1,bcbs292,bcbs292.pdf,10,10,,"The banks were asked to rate and describe to what extent the following elements of the Principles had been implemented: (a) a code of conduct or ethics policy (R1); (b) alignment of compensation policies with their risk appetite and tolerance etc (R2); (c) compensation policies that balance risk and reward (R3); and (d) availability of operational risk training throughout the organisation (R4). As reflected in the chart above, overall, most banks indicated that a strong operational risk management culture had been implemented throughout their organisations and that the board of directors and senior management had established a culture that provides for appropriate incentives for professional and responsible behaviour. Almost all banks reported that they have fully implemented a code of conduct or ethics policy that (i) sets clear expectations for integrity and ethical values of the highest standard, (ii) identifies business practices and conflicts, and (iii) is in compliance with all applicable laws, rules and regulations (R1). Noteworthy practices include ensuring that the code of conduct or ethics policy (i) applies to all the bank’s staff including the board of directors, (ii) is regularly reviewed and attested to by employees, (iii) is regularly approved by the board of directors, and (iv) is publicly available on the bank’s website. Other noteworthy practices include the establishment of a separate code of conduct specifically designed for certain roles (eg treasury dealers, senior management), a whistle-blower programme and a senior ethics committee. Many banks noted that compensation policies appropriately balance risk and reward and are well aligned with the bank’s long-term strategic direction, financial goals and overall safety and soundness (R3). Some banks indicated that their compensation policy is aligned with the FSB Principles for Sound Compensation Practices; they employ appropriate deferral mechanisms and claw-backs and balance the proportion of fixed and variable compensation tied to multiple factors, often including corporate performance, business performance and individual performance. However, few banks indicated that work is under way to better align the compensation policies with the statement of risk appetite and tolerance. Noteworthy practices include remuneration linked to risk-adjusted indicators. Regarding the establishment of operational risk training at all levels throughout the organisation (R4), most banks indicated that some form of operational risk training has been established. For example, some banks have established online operational risk training modules focused on various Review of the Principles for the Sound Management of Operational Risk 7"
bcbs292_p11_c1,bcbs292,bcbs292.pdf,11,11,,"aspects of operational risk, such as “Operational risk 101” and on specific topics such as business continuity, information security or financial crime. Many banks have plans to enhance existing operational risk training, and several banks noted that plans are also in place to enhance the operational risk training and awareness for the board of directors. Noteworthy practices include the establishment of operational risk awareness for all employees, more advanced training on operational risk identification and assessment tools, and processes and policies for individuals with operational risk responsibilities. Other noteworthy practices include customised and mandatory operational risk training for many roles (ie business unit operations, supervisory levels, senior management and the board of directors) and strong internal monitoring of training practices in relation to requirements. Overall, banks are encouraged to: • continue to make progress in aligning compensation policies with the operational risk appetite and tolerance statement; and • develop further and implement their operational risk training and awareness programmes. Principle 2: Operational risk management framework Banks should develop, implement and maintain a framework that is fully integrated into the bank’s overall risk management processes. The framework for operational risk management chosen by an individual bank will depend on a range of factors, including its nature, size, complexity and risk profile. The banks were asked to rate and describe their current degree of implementation for many aspects related to their operational risk management framework (ORMF), including the following: (a) the integration of the ORMF into the overall risk management processes (R5); (b) the application of the ORMF to all the bank’s material operating groups and entities (R17); (c) the establishment of an ORMF that includes various items such as the governance structures used to manage operational risk (R7), the use of operational risk and identification and assessment tools (R8), and the review and approval requirements of the framework itself (R6, R14, R16); 8 Review of the Principles for the Sound Management of Operational Risk"
bcbs292_p12_c1,bcbs292,bcbs292.pdf,12,12,,"(d) the establishment of a common taxonomy of operational risk terms (R12) which should include definitions of operational risk and operational risk event types (R15); and (e) the establishment of operational risk reporting and management information system (MIS) requirements (R11). Regarding banks’ views on the integration of their ORMFs into their overall risk management processes (R5), this requirement received one of the lowest average ratings within Principle 2. Many banks noted that reporting by the operational risk management group to the chief risk officer is consistent with other risk management groups, and that operational risk information is reported to the same officers who receive the other risk management reports. At the same time, however, many banks noted that there is further opportunity to integrate the operational risk assessment programme into the bank’s strategic decision-making process. In addition, some banks noted the need to further strengthen the operational risk assessment process within the new product development and new initiative processes. A bank’s ORMF is also expected to apply to all of a bank’s material operating groups and entities, including subsidiaries, joint ventures and geographic regions (R17). While overall the banks rated themselves strongly on this requirement, a few banks are still in the process of rolling out the framework to some small subsidiaries. Regarding the application of the ORMF to joint ventures, challenges were noted relating to the concept of “controlling interest”. While one bank noted that the ORMF is applied to all entities with a common brand name, logo or equity investment of 30% or more, other banks apply the ORMF only where there is a greater than 50% ownership in the joint venture. Many banks noted that joint ventures are not controlled by the bank and therefore these entities are governed by a shareholder agreement that sets out its own governance programme including shareholder membership on the board, as well as agreements to share the bank’s risk policies and guidelines for the joint venture to consider. Regarding the establishment of an ORMF that identifies various aspects such as the governance structures (R7), operational risk identification and assessment tools (R8), many banks noted that these were not adequately identified within their ORMF as these items received the lowest ratings within Principle 2. In addition, while some banks were quick to update and align their ORMFs following the June 2011 release of the revised BCBS Principles, many banks were slow to"
bcbs292_p12_c2,bcbs292,bcbs292.pdf,12,12,,"governance structures (R7), operational risk identification and assessment tools (R8), many banks noted that these were not adequately identified within their ORMF as these items received the lowest ratings within Principle 2. In addition, while some banks were quick to update and align their ORMFs following the June 2011 release of the revised BCBS Principles, many banks were slow to respond and only recently updated their ORMFs to reflect the updated guidance. The banks also noted that, in general, their ORMF established a common taxonomy of operational risk terms and included definitions of operational risk and operational risk event types. While some banks referenced the use of the Basel framework’s operational loss event categories, other banks noted the development of a complementary operational risk taxonomy that is causal-focused, and not loss-focused. Responding banks were of the view that the frameworks had adequately established these taxonomies, though some noted that further work is needed to ensure the consistent implementation of the risk taxonomies across all business lines and operational risk tools, and these banks are focusing on the establishment of a quality assurance programme. Many banks also noted that the consistent use of an operational risk taxonomy across the bank and within the tools would allow for better aggregation of risks and issues for the purposes of updating their operational risk profiles, and for senior management and board reporting. Noteworthy practices include the creation of an operational risk dictionary that includes definitions and examples of various operational risks in the bank’s taxonomy, as well as guidance related to the classification of each of the operational risks within the taxonomy, to ensure consistent identification and classification across the bank. An additional noteworthy practice was the establishment of a control library, which inventories all the controls within the bank and each of its business lines. One bank also noted that its definition of operational risk events extends beyond direct financial losses, and includes indirect losses such as forgone revenue and lost business, and overall reputational damage due to an operational risk event. Review of the Principles for the Sound Management of Operational Risk 9"
bcbs292_p13_c1,bcbs292,bcbs292.pdf,13,13,,"Many banks noted that their ORMFs adequately established operational risk reporting requirements (R11), and pointed to the inclusion of the nature and frequency of reporting requirements for operational risk management. In addition, many banks also noted the existence of a central operational risk system and data repository that allows for the central capture, aggregation and reporting of key operational risk data. This includes operational losses, operational risk assessments, control deficiencies and key risk indicators. However, some banks are currently self-assessing their operational risk practices against the Basel Committee’s “Principles for Effective Risk Data Aggregation and Risk Reporting” guidance,6 which was published in January 2013. Scope exists to enhance current practice as it relates to completeness and timeliness of data, as well as to enhance the current operational risk data reconciliation processes and the flexibility of operational risk reporting through improved ad hoc reporting. Overall, banks are encouraged to: • further develop the integration of the operational risk management programme into the bank’s strategic decision-making process; • ensure that the ORMF or other relevant policy requires a robust operational risk assessment process within the bank’s new product and new initiative approval processes; • ensure that the ORMF specifies the use of all implemented operational risk identification and assessment tools; • ensure that the ORMF requires the use of the bank’s operational risk taxonomy in all operational risk tools to allow for the aggregation and reporting of operational risks and control issues; and • develop a quality assurance programme to ensure that the independent challenge and review applied by the second line of defence results in consistent risk and control assessments. Principle 3: Board of directors The board of directors should establish, approve and periodically review the framework. The board of directors should oversee senior management to ensure that the policies, processes and systems are implemented effectively at all decision levels. 6 Available at www.bis.org/publ/bcbs239.htm. 10 Review of the Principles for the Sound Management of Operational Risk"
bcbs292_p14_c1,bcbs292,bcbs292.pdf,14,14,,"The banks were asked to rate and describe their current degree of implementation for a variety of board-related elements, including that the board: (a) establishes a management culture, and supporting processes, and develops oversight of control environments (R21, R22); (b) regularly reviews and approves the ORMF (R23, R24); and (c) ensures the ORMF is subject to independent review and best practice (R25, R26). As indicated in the table above, most banks said that the board was very active in establishing a strong risk management culture, and in overseeing the bank’s control environments (R21, R22). Common practice includes discussion and review of operational risk management reporting at the board level, and in board subcommittees mandated with more specific risk management oversight responsibilities. Noteworthy practices include (i) the board regularly challenges senior management on the design and effectiveness of the bank’s operational risk management framework, (ii) the board reviews and approves an operational risk management strategy that sets forth the long-term vision for the programme and the initiatives planned to support implementation, and (iii) the establishment of a formal communication strategy, whereby senior management underlines the importance of strong risk management practices through a variety of forums such as employee communications and training sessions. The topic of risk culture is receiving more attention from banks and many noted that they will monitor developments and will look to implement any resulting supervisory guidance. Regarding the regular review and approval of the ORMF (R23, R24), most banks rated practices as either compliant or largely compliant. Many banks said that the board or a subcommittee (ie the risk or audit committee) was responsible for regularly reviewing and approving the ORMF. However, a range of practice was noted as a few banks indicated that their board was not responsible for reviewing or approving risk management policies, but rather that these activities were delegated to senior management. The banks explained this variation in practice by pointing to differences in their local legal environment and in supervisory guidance or expectations. While most banks noted that such review and approval occurred at least annually or more frequently if there was a material change in risk profile, some banks noted that review and approval occurred less frequently (ie every two to three years), and one bank noted its review was performed once every five years. As evident in the chart above, the banks also rated highly the board’s role in"
bcbs292_p14_c2,bcbs292,bcbs292.pdf,14,14,,"approval occurred at least annually or more frequently if there was a material change in risk profile, some banks noted that review and approval occurred less frequently (ie every two to three years), and one bank noted its review was performed once every five years. As evident in the chart above, the banks also rated highly the board’s role in ensuring the ORMF is subject to independent review and best practice (R25, R26). Most said that this role was Review of the Principles for the Sound Management of Operational Risk 11"
bcbs292_p15_c1,bcbs292,bcbs292.pdf,15,15,,"accomplished through the board’s regular review of risk management reporting and internal audit reporting which included approval of the internal audit plan and review of ORMF audit reports. A common practice also noted by the banks was the participation by employees in industry working groups and conferences to remain current on leading practices. However, as it relates to the board ensuring that bank adopts best practices, only a small number said that the board had commissioned an external third party to review the design and effectiveness of the ORMF. There were also a few banks that noted that internal audits of the ORMF were infrequent (ie between three and five years). In addition, a few banks said that the focus of internal audit’s ORMF reviews were on the operational risk capital model, rather than a full implementation of the framework. A noteworthy practice identified was the inclusion of ORMF reviews within business unit audits, to complement the overall audit of the ORMF. Overall, banks are encouraged to: • ensure the scope of internal audit is on the full implementation and execution of the framework, rather than being limited to the operational risk capital model; • ensure the scope of internal audit includes review of the effective implementation and execution of the ORMF at the business unit or legal entity levels, to complement the overall audit of the ORMF; and • consider periodically engaging a benchmarking analysis of the bank’s operational risk management framework with the assistance of independent external advisors, as part of the regular assessment of the ORMF’s design and effectiveness. Principle 4: Operational risk appetite and tolerance The board of directors should approve and review a risk appetite and tolerance statement for operational risk that articulates the nature, types, and levels of operational risk that the bank is willing to assume. The banks were asked to rate and describe to what extent they have implemented the following elements related to operational risk appetite and tolerance: (a) the risk appetite and tolerance articulates the types and levels of operational risk the bank is willing to assume (R28); 12 Review of the Principles for the Sound Management of Operational Risk"
bcbs292_p16_c1,bcbs292,bcbs292.pdf,16,16,,"(b) the board approves the risk appetite and tolerance (R29); (c) the board reviews the appropriateness of limits, considering many factors (R30); and (d) the board monitors management’s adherence to the operational risk appetite and tolerance (R31). As reflected in the chart above, some banks said that they have established an operational risk appetite and tolerance statement that is reviewed regularly and approved by the board of directors or a delegated authority, while others noted that this is currently under development. Many banks indicated that establishing a risk appetite and tolerance statement was more challenging for operational risk than for other risk categories such as credit risk and market risk, and attributed this to the nature and pervasiveness of operational risk. As a result, many banks indicated that work is under way to enhance the existing operational risk appetite and tolerance statement. For those banks that have established an operational risk appetite and tolerance statement, a commonly observed practice was the inclusion of a metric such as operational losses as a percentage of gross revenue. However, these metrics tended to be backward- rather than forward-looking. Noteworthy practices include defining operational risk appetite and tolerance at both a divisional and a taxonomy level, utilising both quantitative and qualitative components, and setting limits based on established key risk indicators such as loss metrics, deficiencies, events and residual risk assessments from operational risk identification and assessment. Overall, banks are encouraged to: • continue their work to further articulate and implement enhanced and forward-looking operational risk appetite and tolerance statements. Principle 5: Senior management Senior management should develop for approval by the board of directors a clear, effective and robust governance structure with well defined, transparent and consistent lines of responsibility. Senior management is responsible for consistently implementing and maintaining throughout the organisation policies, processes and systems for managing operational risk in all the bank’s material products, activities, processes and systems consistent with the risk appetite and tolerance. Review of the Principles for the Sound Management of Operational Risk 13"
bcbs292_p17_c1,bcbs292,bcbs292.pdf,17,17,,"The banks were asked to rate and describe the extent to which they have implemented the following elements of Principle 5: (a) senior management establishes and supports an appropriate operational risk governance structure (ie governance structures, lines of responsibility, sufficient corporate operational risk function (CORF) stature and an operational risk committee) (R32, R36, R39); (b) senior management ensures effective development and implementation of the ORMF and other operational risk policies through the recruitment of experienced and technical staff, ensuring appropriate level of resources and operational risk training, and effective communication and coordination of risk management responsibilities (R34, R35, R37, R43); (c) senior management ensures effective implementation of challenge mechanisms, issue resolution processes and the three lines of defence roles and responsibilities (ie business line management, CORF and internal audit) (R33, R38); and (d) senior management establishes an operational risk committee that is functioning effectively (ie receives regular inputs from country, business or functional area, meets at appropriate frequencies with adequate time and resources to permit productive discussion and decisionmaking, and maintains records of committee operations that allow for review and evaluation of committee effectiveness) (R40, R41, R42). Almost all banks reported having an independent and dedicated CORF to oversee the implementation of the bank’s ORMF and also an internal audit group that assumed the responsibilities of the third line of defence. In most cases, the CORF is responsible for reporting all operational riskrelated matters in the bank to the appropriate senior management/committees. The CORF is also typically staffed with tenured individuals with the appropriate seniority and experience and the title, stature and compensation of operational risk staff is commensurate with that of other risk functions. Most banks also reported having an overall ORMF, which was supported by specific policies (ie loss data collection, risk and control self-assessment (RCSA), key risk indicators (KRI), loss modelling, scenario analysis etc), and that these policies are developed by senior management and approved by the board of directors. In some banks, the board’s risk committee or operational risk committee approves these various risk-related policies. At most banks, the ORMF and operational risk policies outline the scope, mandate, membership and hierarchy of relevant governance structures and forums, roles and responsibilities, linkages to organisational units, reporting lines, as well as escalation and resolution mechanisms. Also at most banks, the ORMF is applicable across the bank including overseas branches and regions, ensuring clear accountability and responsibility for management"
